absdiff,416.3,376.29,0.000107651,,,absdiff,416.3,376.29,0.000107651,,,375.97
absdiff,416.3,365.99,0.000307574,,,absdiff,416.3,381.95,0.000199923,,,425.38
absdiff,416.3,365.99,0.000507497,,,absdiff,416.3,365.99,0.000307574,,,472.03
absdiff,416.3,364.13,0.00070742,,,absdiff,416.3,365.99,0.000399846,,,472.03
absdiff,416.3,377.32,0.000907343,,,absdiff,416.3,365.99,0.000507497,,,472.03
buttfly,1008.2,722.69,0.0001,,,absdiff,416.3,353.97,0.000599769,,,335.4
buttfly,1008.2,710.19,0.0003,,,absdiff,416.3,364.13,0.00070742,,,446.93
buttfly,1008.2,710.19,0.0005,,,absdiff,416.3,371.8,0.000799692,,,387.32
buttfly,1008.2,696.3,0.0007,,,absdiff,416.3,377.32,0.000907343,,,445.66
buttfly,1008.2,683.55,0.0009,,,absdiff,416.3,368.39,0.000999616,,,477.92
mac,595.9,589.6,0.000107651,,,buttfly,1008.2,722.69,0.0001,,,778.14
mac,595.9,492.94,0.000307574,,,buttfly,1008.2,692.05,0.0002,,,753.87
mac,595.9,466.62,0.000507497,,,buttfly,1008.2,710.19,0.0003,,,796.57
mac,595.9,466.62,0.00070742,,,buttfly,1008.2,710.19,0.0004,,,796.57
mac,595.9,466.62,0.000907343,,,buttfly,1008.2,710.19,0.0005,,,796.57
mult16,1981.5,966.03,1.00E-04,,,buttfly,1008.2,696.3,0.0006,,,770.75
mult16,1981.5,946.55,0.0003,,,buttfly,1008.2,696.3,0.0007,,,770.75
mult16,1981.5,874.82,0.0005,,,buttfly,1008.2,683.55,0.0008,,,776.82
mult16,1981.5,874.82,0.0007,,,buttfly,1008.2,683.55,0.0009,,,770.77
mult16,1981.5,795.53,0.0009,,,buttfly,1008.2,697.69,0.001,,,815.83
add32,1843.3,390.03,0.0001,,,mac,595.9,589.6,0.000107651,,,
add32,1843.3,336.53,0.0003,,,mac,595.9,492.94,0.000199923,,,
add32,1843.3,336.53,0.0005,,,mac,595.9,492.94,0.000307574,,,
add32,1843.3,274.05,0.0007,,,mac,595.9,466.62,0.000399846,,,
add32,1843.3,274.05,0.0009,,,mac,595.9,466.62,0.000507497,,,
,,,,,,mac,595.9,492.28,0.000599769,,,
,,,,,,mac,595.9,466.62,0.00070742,,,
,,,,,,mac,595.9,466.62,0.000799692,,,
,,,,,,mac,595.9,466.62,0.000907343,,,
,,,,,,mac,595.9,477.95,0.000999616,,,
,,,,,,mult16,1981.5,966.03,1.00E-04,,,
,,,,,,mult16,1981.5,955.23,0.0002,,,
,,,,,,mult16,1981.5,946.55,0.0003,,,
,,,,,,mult16,1981.5,875.79,0.0004,,,
,,,,,,mult16,1981.5,874.82,0.0005,,,
,,,,,,mult16,1981.5,874.82,0.0006,,,
,,,,,,mult16,1981.5,874.82,0.0007,,,
,,,,,,mult16,1981.5,795.53,0.0008,,,
,,,,,,mult16,1981.5,795.53,0.0009,,,
,,,,,,mult16,1981.5,796.17,0.001,,,
,,,,,,add32,1843.3,390.03,0.0001,,,
,,,,,,add32,1843.3,336.53,0.0002,,,
,,,,,,add32,1843.3,336.53,0.0003,,,
,,,,,,add32,1843.3,336.53,0.0004,,,
,,,,,,add32,1843.3,336.53,0.0005,,,
,,,,,,add32,1843.3,274.05,0.0006,,,
,,,,,,add32,1843.3,274.05,0.0007,,,
,,,,,,add32,1843.3,274.05,0.0008,,,
,,,,,,add32,1843.3,274.05,0.0009,,,
,,,,,,add32,1843.3,274.05,0.001,,,